"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 31 07:10:41 MSK 2025","Wed Dec 31 07:10:42 MSK 2025","248","","ru.yandex.CreateUserTest","","ru.yandex.CreateUserTest","createUserWithoutNameShouldReturnError","Создать уникального пользователя без обязательного поля name","Тест проверяет, что нельзя создать пользователя без обязательного поля name"
"passed","Wed Dec 31 07:10:45 MSK 2025","Wed Dec 31 07:10:46 MSK 2025","1480","","ru.yandex.LoginTest","","ru.yandex.LoginTest","loginWithoutValidPasswordShouldReturn401","Вход с неверным паролем","Тест проверяет, что пользователь не может войти под неверными учетными данными"
"passed","Wed Dec 31 07:10:46 MSK 2025","Wed Dec 31 07:10:47 MSK 2025","1221","","ru.yandex.LoginTest","","ru.yandex.LoginTest","loginWithEmptyEmailShouldReturn401","Вход с пустым email","Тест проверяет, что пользователь не может войти под пустыми учетными данными"
"passed","Wed Dec 31 07:10:50 MSK 2025","Wed Dec 31 07:10:51 MSK 2025","1107","","ru.yandex.LoginTest","","ru.yandex.LoginTest","loginWithEmptyPasswordShouldReturn401","Вход с пустым паролем","Тест проверяет, что пользователь не может войти под пустыми учетными данными"
"passed","Wed Dec 31 07:10:51 MSK 2025","Wed Dec 31 07:10:55 MSK 2025","4292","","ru.yandex.OrdersTest","","ru.yandex.OrdersTest","createOrderWithAuthAndValidIngredientsShouldReturn200","Создание заказа с авторизацией и валидными ингредиентами","Тест проверяет, что авторизованный пользователь может создать заказ с валидными ингредиентами и получить статус 200"
"passed","Wed Dec 31 07:10:47 MSK 2025","Wed Dec 31 07:10:49 MSK 2025","1119","","ru.yandex.LoginTest","","ru.yandex.LoginTest","loginWithoutValidEmailShouldReturn401","Вход с неверным email","Тест проверяет, что пользователь не может войти под неверными учетными данными"
"passed","Wed Dec 31 07:10:58 MSK 2025","Wed Dec 31 07:10:59 MSK 2025","1345","","ru.yandex.OrdersTest","","ru.yandex.OrdersTest","createOrderWithInvalidIngredientHashShouldReturn500","Создание заказа с неверным хешем ингредиентов","Тест проверяет, что при создании заказа с несуществующим ID ингредиента возвращается ошибка 500"
"passed","Wed Dec 31 07:10:37 MSK 2025","Wed Dec 31 07:10:41 MSK 2025","4218","","ru.yandex.CreateUserTest","","ru.yandex.CreateUserTest","createUserWithValidDataShouldReturnSuccess","Успешное создание пользователя с валидными данными","Тест проверяет, что зарегистрироваться с валидными данными пользователя"
"failed","Wed Dec 31 07:10:55 MSK 2025","Wed Dec 31 07:10:56 MSK 2025","1276","","ru.yandex.OrdersTest","","ru.yandex.OrdersTest","createOrderWithoutAuthWithValidIngredientsShouldReturn401","Создание заказа без авторизации с валидными ингредиентами","Тест проверяет, что неавторизованный пользователь не может создать заказ с валидными ингредиентами"
"passed","Wed Dec 31 07:10:41 MSK 2025","Wed Dec 31 07:10:41 MSK 2025","282","","ru.yandex.CreateUserTest","","ru.yandex.CreateUserTest","createUserWithoutPasswordShouldReturnError","Создать уникального пользователя без обязательного поля password","Тест проверяет, что нельзя создать пользователя без обязательного поля password"
"passed","Wed Dec 31 07:10:41 MSK 2025","Wed Dec 31 07:10:41 MSK 2025","356","","ru.yandex.CreateUserTest","","ru.yandex.CreateUserTest","createUserWithoutEmailShouldReturnError","Создать уникального пользователя без обязательного поля email","Тест проверяет, что нельзя создать пользователя без обязательного поля email"
"passed","Wed Dec 31 07:10:43 MSK 2025","Wed Dec 31 07:10:45 MSK 2025","1458","","ru.yandex.IngredientsTest","","ru.yandex.IngredientsTest","getIngredientsShouldReturnAllIngredients","Проверка, что сервер возвращает список ингредиентов","Тест проверяет, что сервер возвращает не пустой список ингредиентов при GET-запросе к /ingredients"
"passed","Wed Dec 31 07:10:42 MSK 2025","Wed Dec 31 07:10:43 MSK 2025","1559","","ru.yandex.CreateUserTest","","ru.yandex.CreateUserTest","createUserWithExistingEmailShouldReturnError","Создать уникального пользователя c существующим email","Тест проверяет, что нельзя создать пользователя с существующим email"
"passed","Wed Dec 31 07:10:56 MSK 2025","Wed Dec 31 07:10:58 MSK 2025","1222","","ru.yandex.OrdersTest","","ru.yandex.OrdersTest","createOrderWithAuthAndEmptyIngredientsShouldReturn400","Создание заказа без ингредиентов","Тест проверяет, что при создании заказа без ингредиентов возвращается ошибка 400"
"passed","Wed Dec 31 07:10:49 MSK 2025","Wed Dec 31 07:10:50 MSK 2025","1205","","ru.yandex.LoginTest","","ru.yandex.LoginTest","loginWithValidCredentialsShouldReturnCorrectResponse","Вход под существующим пользователем","Тест проверяет, что пользователь может войти под своими учетными данными"
